,events.out.tfevents.1564293078.proj55
0,0.06117866560816765
1,0.20178727805614471
2,0.30006399750709534
3,0.3608251214027405
4,0.3983009159564972
5,0.42668816447257996
6,0.44924217462539673
7,0.4651739001274109
8,0.47757789492607117
9,0.4868982434272766
10,0.49466705322265625
11,0.5025646090507507
12,0.5070866346359253
13,0.511574387550354
14,0.5158684849739075
15,0.5204428434371948
16,0.5234102010726929
17,0.5262651443481445
18,0.5286338925361633
19,0.5305967330932617
20,0.5334587097167969
21,0.5355176329612732
22,0.5370028614997864
23,0.5388985872268677
24,0.5405992269515991
25,0.5420345067977905
26,0.5435143113136292
27,0.5444352626800537
28,0.5455357432365417
29,0.5454725027084351
30,0.6332862377166748
31,0.6519644260406494
32,0.6604090929031372
33,0.6657951474189758
34,0.6699526906013489
35,0.67391437292099
36,0.6759436130523682
37,0.6787150502204895
38,0.6802018284797668
39,0.6823699474334717
40,0.6837303042411804
41,0.6850095391273499
42,0.6854590773582458
43,0.6863628625869751
44,0.6874851584434509
45,0.6878246665000916
46,0.6878082752227783
47,0.6891499161720276
48,0.6889633536338806
49,0.6891491413116455
50,0.6894800662994385
51,0.6891233921051025
52,0.6903385519981384
53,0.6901059746742249
54,0.6895893216133118
55,0.6907249093055725
56,0.6906445026397705
57,0.6910207271575928
58,0.6905899047851562
59,0.6910964250564575
60,0.7223612070083618
61,0.7309089303016663
62,0.7334017753601074
63,0.73667973279953
64,0.7380713224411011
65,0.7397727370262146
66,0.740426778793335
67,0.7423045635223389
68,0.7429328560829163
69,0.744478166103363
70,0.7457784414291382
71,0.7453452944755554
