,events.out.tfevents.1564293078.proj55
0,5.509023189544678
1,4.0671610832214355
2,3.3961191177368164
3,3.026672840118408
4,2.8051273822784424
5,2.6451401710510254
6,2.5190951824188232
7,2.4348437786102295
8,2.3664910793304443
9,2.313457727432251
10,2.272127151489258
11,2.2321362495422363
12,2.206299066543579
13,2.1801583766937256
14,2.157942533493042
15,2.136810302734375
16,2.1198551654815674
17,2.1058716773986816
18,2.091956377029419
19,2.0798168182373047
20,2.0690715312957764
21,2.058561325073242
22,2.0481019020080566
23,2.037841558456421
24,2.0311689376831055
25,2.0223116874694824
26,2.017054319381714
27,2.010775566101074
28,2.0042452812194824
29,2.001896619796753
30,1.5839341878890991
31,1.4897434711456299
32,1.449485421180725
33,1.4232542514801025
34,1.4016568660736084
35,1.3843708038330078
36,1.3739361763000488
37,1.3596959114074707
38,1.3528192043304443
39,1.341529130935669
40,1.336024284362793
41,1.3303841352462769
42,1.3263674974441528
43,1.3208482265472412
44,1.3158077001571655
45,1.3138689994812012
46,1.3122645616531372
47,1.3079283237457275
48,1.308106780052185
49,1.306443214416504
50,1.3039884567260742
51,1.3038032054901123
52,1.3026034832000732
53,1.301544189453125
54,1.300836443901062
55,1.2982845306396484
56,1.2976646423339844
57,1.2949485778808594
58,1.2972406148910522
59,1.2945255041122437
60,1.1581509113311768
61,1.1224536895751953
62,1.1077442169189453
63,1.093645453453064
64,1.0875052213668823
65,1.0797615051269531
66,1.076123833656311
67,1.0694553852081299
68,1.06472647190094
69,1.0606154203414917
70,1.054645299911499
71,1.0525197982788086
