,events.out.tfevents.1564725345.proj55
0,0.061141204088926315
1,0.20677369832992554
2,0.3108407258987427
3,0.37152770161628723
4,0.40940698981285095
5,0.4389454424381256
6,0.46247735619544983
7,0.4781835377216339
8,0.48977506160736084
9,0.49910324811935425
10,0.5069313645362854
11,0.5144417881965637
12,0.5197950601577759
13,0.5245676040649414
14,0.528614342212677
15,0.5325635075569153
16,0.5357306599617004
17,0.5389087200164795
18,0.5412251949310303
19,0.5433480739593506
20,0.545154869556427
21,0.5480020046234131
22,0.5498002171516418
23,0.5520073771476746
24,0.5531390309333801
25,0.5546586513519287
26,0.5554593801498413
27,0.5572630763053894
28,0.5583713054656982
29,0.5586015582084656
30,0.6483914256095886
31,0.6682426929473877
32,0.6763064861297607
33,0.6812359690666199
34,0.6858477592468262
35,0.689724326133728
36,0.6916700601577759
37,0.6944531798362732
38,0.6957846879959106
39,0.6977655291557312
40,0.6989752650260925
41,0.6999687552452087
42,0.7003090381622314
43,0.7019004225730896
44,0.7029384970664978
45,0.7034746408462524
46,0.7033169865608215
47,0.7039569616317749
48,0.7041988968849182
49,0.7035823464393616
50,0.7043932676315308
51,0.7044588327407837
52,0.7048888802528381
53,0.7044306993484497
54,0.704542338848114
55,0.7050879001617432
56,0.7052330374717712
57,0.7054274082183838
58,0.7049474120140076
59,0.7052650451660156
60,0.7388166785240173
61,0.7486427426338196
62,0.7520495057106018
63,0.7552704811096191
64,0.7570890188217163
65,0.7586983442306519
66,0.7597035765647888
67,0.7612684369087219
68,0.7623282670974731
69,0.7636972665786743
70,0.7651668787002563
71,0.7649865746498108
72,0.7658365368843079
73,0.7668464183807373
74,0.7672694325447083
75,0.7684011459350586
76,0.7697607278823853
77,0.770168125629425
78,0.77096027135849
79,0.7713559865951538
80,0.7753254771232605
81,0.7773640155792236
82,0.7773109674453735
83,0.77760910987854
84,0.7777480483055115
85,0.7775482535362244
86,0.778323233127594
87,0.7782124280929565
88,0.7788196206092834
